""
"продумать сценарии тестирования конкрентно сервиса","Тут важно понять, что именно мы хотим тестировать. Наш FastAPI сервис как в таковом тестировании не нуждается(запрос принял, запрос обработал и отдал, только если сделать ""видимость"" тестов), как я понимаю, сама модель тоже в тестах не нуждается, тогда что именно мы хотим тестировать?","","backend","","",""
"теория по суммаризации","","","Голос, доп теория, sprint 5","Александр Локис","",""
"тяжелые модели","nvidia/stt_ru_conformer_transducer_large (0.43, 0.31)nvidia/stt_ru_conformer_ctc_large (0.4, 0.25)jonatasgrosman/wav2vec2-large-xlsr-53-russian (0.72, 0.37)bond005/wav2vec2-large-ru-golos (0.66, 0.37)espnet/russian_commonvoice_blstm (0.93, 0.57)  https://alphacephei.com/nsh/2023/01/22/russian-models.html","","Голос, sprint 4","","",""
"найти текущие решения задачи распознавания речи","это может быть фреймворк или просто взаимодействие с апи","","Голос, sprint 3","Александр Локис","",""
"Изучить теорию по работе с речью","Посмотрел лекции и семинары по теме ""Обработка звука"" из курса от DLS на платформе ""Stepik"" Шаг 1 · Лекция · Stepik Шаг 1 · Семинар · Stepik Шаг 1 · Лекция · Stepik Шаг 1 · Семинар · Stepik   Изучил продвинутую теорию по работе с речью Материалы курса - https://github.com/severilov/2022-DL-Audio-Course Плейлист - https://youtube.com/playlist?list=PLk4h7dmY2eYHfxOR8PO_v6nu5crh6tMG-","","Голос, доп теория, sprint 2","Александр Никитин","",""
"как интегрируются сиcтемы тикетов с мессенджерами и процесс аутентификации","наверное, лучший способ аутентификации: пользователь вводит свою ст почту в формате  st*?@student.spbu.ru, ему приходит код, который он должен ввести в бота. в случае удачной аутентификации добавляем пользователя в бд в формате айди - почта - дататут встает вопрос, что делать с людьми, которые закончили вуз или их отчислили. можно, например, просить заново пройти процедуру аутентификации через месяци, возможно, следует дать пользователю возможность привязать несколько аккаунтов к одной почте, на всякий случай. но сколько аккаунтов лимит и как пользователю ими управлять - вопрос. тикет, мне кажется, можно подготавливать прямо внутри бота по параметрам, которые есть у спбгу, но для этого потребуется соответствующий интерфейс у моделей. должно работать, потому что тикеты они, скорее всего, хранят в бд, поэтому не должно возникнуть трудностей но я не знаю как у них устроена система ответа на тикеты: есть ли у них уже какой-то мессенджер или операторы пишут ответ напрямую пользователю как в 2010 году","","prep, sprint 1","Egor Shtanko","",""
"понять что такое фастапи....","просмотрел какую-то часть https://youtu.be/7t2alSnE2-I пока не обращаю внимание на что-то конкретное, больше стараюсь понять какой-то пайплайн работы. успехи в этом направлении есть, так что думаю в конце концов мы с этим фреймворком поборемся на равных","","доп теория, sprint 3, sprint 4, backend","Egor Shtanko","",""
"обучить финальную модель и протестировать","","","Голос, текст, sprint 7","Александр Локис","",""
"протестировать разные открытые модели на собранном тесте","модели: golos от сбера: WER = 0.74, CER = 0.51 от nvidia на русском:WER = 0.91, CER = 0.52 наша текущая:WER = 0.74, CER = 0.39 whisper от openai:не способна обрабатывать длинные аудиозаписи, приходится бить аудио на куски, что ухудшает качество.","","Голос, sprint 3","","",""
"теория speaker diarization","speaker diarization используется совместно с voice activity detection. Базовый пайплайн - разбить вейформу на чанки, получить эмбеддинги и кластеризовать по спикерам. пара видео: раз два три статьи: раз два","","Голос, доп теория, sprint 5","Александр Локис","",""
"Изучить wandb","Сайт - Weights & Biases – Developer tools for ML (wandb.ai) Туториалы - https://colab.research.google.com/github/wandb/examples/blob/master/colabs/intro/Intro_to_Weights_%26_Biases.ipynb   https://colab.research.google.com/github/wandb/examples/blob/master/colabs/pytorch/Organizing_Hyperparameter_Sweeps_in_PyTorch_with_W%26B.ipynb","","доп теория, sprint 2","Александр Никитин","",""
"посмотреть как используют текстовые технологии","https://ojs.aaai.org/index.php/AAAI/article/view/4986 https://ieeexplore.ieee.org/document/7852503 https://arxiv.org/pdf/1807.02854.pdf","","prep, sprint 1","Александр Никитин","",""
"фастапи v.2","FastAPI отличное решение для нашего проекта, с его помощью мы сможем легко связать нашу нейронную сеть и компонент, ответственный за обработку сообщений. Одной из главных преимуществ FastAPI является скорость работы, хотя в данном случае нам может не понадобиться максимальная скорость, так как мы предполагаем не более 10 запросов в час(если даже мы столкнёмся с большим количеством запросов, для нас это будет не проблема). Я еще не приступал к изучению самой реализации API, однако готов это сделать в ближайшее время.","","доп теория, sprint 4, backend","Alexandr Frolov","",""
"разобраться с ошибками в транскрипции сгенериированного датасета","","","Голос, sprint 3, датасет, bug","","",""
